idno,netustm,ppltrst,vote,prtvtddk,health,lvpntyr,tygrtr,gndr,yrbrn,edlvddk,eduyrs,wkhct,wkhtot,grspnum,frlgrsp,inwtm
24928,120,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1984,Should never retire permanently,Male,1965,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",19,,80,50000,,77.0
27000,390,5,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1971,65,Male,1956,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",12,,60,90000,,51.0
27211,120,7,Yes,Kristendemokraterne - Christian Democrats,Fair,1983,60,Male,1969,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,15,17,26000,,99.0
28202,60,7,Yes,Det Radikale Venstre - The Radical Liberal Party,Bad,2007,60,Male,1990,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",17,37,45,28000,35000,56.0
29156,,8,Yes,Dansk Folkeparti - Danish People's Party,Very good,1944,60,Male,1932,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,60,60,,,88.0
29471,240,8,Yes,Det Radikale Venstre - The Radical Liberal Party,Very good,1984,50,Male,1966,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,42,42,40000,45000,46.0
31317,60,6,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Good,1970,62,Female,1948,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",5,37,37,,,68.0
32191,90,8,Yes,Socialdemokratiet - The Social democrats,Fair,1964,60,Female,1956,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,37,37,34500,40000,80.0
33174,45,9,Yes,Alternativet - The Alternative,Good,1970,55,Male,1949,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",18,30,32,,,50.0
33307,720,7,No,,Fair,2013,48,Male,1991,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",17,20,20,,,68.0
34446,90,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1998,60,Female,1975,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15,37,37,25000,30000,59.0
34955,240,6,Yes,Socialdemokratiet - The Social democrats,Fair,1980,50,Female,1963,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15,37,37,33000,,61.0
38221,240,7,Yes,Socialdemokratiet - The Social democrats,Good,2000,45,Female,1982,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15,30,30,24000,35000,61.0
38848,120,9,Yes,Socialdemokratiet - The Social democrats,Good,2001,60,Female,1979,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15,30,32,21000,25000,69.0
38971,,6,Yes,Dansk Folkeparti - Danish People's Party,Fair,1997,60,Male,1980,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,55,37,44000,,58.0
39619,45,8,Yes,Socialdemokratiet - The Social democrats,Very good,1963,50,Male,1942,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,37,37,,,57.0
42274,660,8,Yes,,Very good,1972,60,Female,1955,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15,37,40,38500,42000,79.0
44490,170,9,Yes,Det Radikale Venstre - The Radical Liberal Party,Good,2001,65,Female,1982,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",21,37,40,42000,,39.0
46190,360,6,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Fair,1987,52,Male,1967,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,42,37000,,59.0
46404,300,8,No,,Good,1984,50,Male,1965,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",14,37,45,92000,,42.0
46606,300,8,Yes,Alternativet - The Alternative,Very good,2014,60,Female,1993,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",16,8,20,10000,,66.0
49450,180,8,Yes,SF Socialistisk Folkeparti - Socialist People's Party,Very good,2015,60,Male,1987,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",18,37,37,24000,,48.0
50526,,7,Yes,,Fair,1957,Never too young,Female,1942,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",10,37,37,,,92.0
53574,480,9,Yes,Socialdemokratiet - The Social democrats,Very good,2014,55,Male,1993,Universitetsbachelor. 1. del af kandidatuddannelse,17,15,18,14000,,60.0
55481,540,8,Yes,,Very good,2002,58,Female,1984,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",19,37,37,39000,,71.0
56690,62,2,Yes,Det Konservative Folkeparti - Conservative People's Party,Fair,1960,60,Female,1940,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,27,35,,,77.0
59410,10,8,Yes,Dansk Folkeparti - Danish People's Party,Good,1986,60,Male,1968,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15,37,40,30000,33000,66.0
59841,45,8,Yes,Alternativet - The Alternative,Good,1989,55,Female,1972,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",24,37,37,45000,,149.0
61995,30,6,Yes,Socialdemokratiet - The Social democrats,Very good,1996,60,Female,1977,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",16,30,34,19500,,50.0
62055,,2,No,,Fair,,Never too young,Female,1935,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",3,25,25,,,57.0
62232,60,5,Yes,Dansk Folkeparti - Danish People's Party,Good,1957,63,Male,1942,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",10,,,,,65.0
62601,150,8,Yes,Socialdemokratiet - The Social democrats,Good,1981,61,Female,1961,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,33,33,28000,35000,72.0
63738,121,5,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Good,2000,66,Male,1982,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,80,80,45000,,59.0
64617,150,8,Yes,Socialdemokratiet - The Social democrats,Good,"Still in parental home, never left 2 months",50,Female,1991,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,,,61.0
66405,60,7,Yes,Socialdemokratiet - The Social democrats,Very good,1969,62,Male,1949,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",11,37,50,,,70.0
66500,122,10,Yes,Socialdemokratiet - The Social democrats,Very good,1996,,Male,1980,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",10,36,36,31000,,54.0
66561,30,8,Yes,Socialdemokratiet - The Social democrats,Good,1976,Never too young,Male,1957,Folkeskole 9.-10. klasse,9,37,37,35000,38000,35.0
68174,,7,Yes,Dansk Folkeparti - Danish People's Party,Good,1953,60,Male,1934,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",11,37,37,,,78.0
68781,150,9,Yes,SF Socialistisk Folkeparti - Socialist People's Party,Good,1962,Never too young,Female,1945,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",20,,,,,87.0
69758,45,3,Not eligible to vote,,Good,1992,,Male,1967,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",20,37,40,34000,40000,64.0
75245,240,7,Yes,Dansk Folkeparti - Danish People's Party,Good,2008,60,Male,1985,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",17,,40,50000,,62.0
75287,120,8,Yes,,Good,2018,65,Male,1995,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",16,8,8,,,53.0
75328,120,8,Yes,Det Radikale Venstre - The Radical Liberal Party,Good,1997,58,Female,1978,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",9,37,39,,,72.0
75408,480,7,No,,Very good,2017,60,Male,2001,Folkeskole 9.-10. klasse,11,8,8,0,,58.0
75478,300,7,Not eligible to vote,,Very good,"Still in parental home, never left 2 months",55,Female,1998,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",13,15,15,6000,8000,54.0
75552,300,6,No,,Good,2011,40,Male,1989,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",15,37,55,35000,,48.0
75748,720,7,Yes,Socialdemokratiet - The Social democrats,Good,1987,60,Female,1973,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",4,37,37,33000,,40.0
75839,30,3,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Fair,1958,64,Male,1938,Folkeskole 9.-10. klasse,15,40,40,,,48.0
75850,60,9,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1994,50,Female,1974,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",5,37,40,385000,42000,53.0
75969,180,6,No,,Fair,2010,45,Female,2003,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,37,42,18000,24000,60.0
76113,600,6,Yes,Dansk Folkeparti - Danish People's Party,Very good,"Still in parental home, never left 2 months",55,Female,1995,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",18,,7,,,52.0
76127,420,7,Not eligible to vote,,Very good,"Still in parental home, never left 2 months",45,Female,2002,Folkeskole 9.-10. klasse,9,12,12,3700,,51.0
76225,,7,No,,Good,"Still in parental home, never left 2 months",17,Male,2001,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",10,10,10,2000,,52.0
76259,420,5,Not eligible to vote,,Good,1969,,Male,1950,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",20,8,8,60000,,134.0
76553,244,6,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Bad,1973,60,Male,1951,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",18,37,37,,,45.0
76667,120,8,Yes,Dansk Folkeparti - Danish People's Party,Very good,1964,60,Male,1944,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",11,7,35,,,53.0
76690,60,9,Yes,SF Socialistisk Folkeparti - Socialist People's Party,Very good,1963,,Male,1943,Universitetsbachelor. 1. del af kandidatuddannelse,8,37,37,,,72.0
76768,45,6,Yes,Socialdemokratiet - The Social democrats,Fair,1968,67,Female,1948,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",15,37,45,,,55.0
76848,30,5,Yes,Socialdemokratiet - The Social democrats,Good,1976,65,Male,1960,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",18,37,37,27000,35000,69.0
76863,300,4,No,,Good,2018,55,Male,1997,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",,37,37,,,35.0
76958,90,6,Yes,Det Radikale Venstre - The Radical Liberal Party,Good,1982,60,Male,1959,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15,37,42,,,51.0
76965,30,8,Yes,Socialdemokratiet - The Social democrats,Very good,1962,,Male,1940,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",18,37,37,,,78.0
77062,60,9,Yes,,Good,1966,,Female,1947,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",20,37,37,,,74.0
77093,61,8,Yes,Det Konservative Folkeparti - Conservative People's Party,Good,1983,67,Male,1966,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,37,45,62000,,63.0
77153,240,8,Yes,Liberal Alliance - Liberal Alliance,Good,2000,60,Female,1981,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",4,37,40,35000,40000,76.0
77167,120,9,Yes,Socialdemokratiet - The Social democrats,Fair,1982,50,Male,1963,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,20,23,28000,,66.0
77198,48,8,Yes,Socialdemokratiet - The Social democrats,Very good,1966,62,Female,1949,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15,37,37,,,50.0
77275,600,8,Yes,Socialdemokratiet - The Social democrats,Very good,2001,50,Male,1979,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",18,37,40,51000,,66.0
77284,30,7,No,,Fair,1944,50,Male,1929,Folkeskole 6.-8. klasse,1,37,42,,,102.0
77301,,9,Yes,Det Konservative Folkeparti - Conservative People's Party,Very good,1975,50,Female,1958,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,30,40,30000,35000,51.0
77371,61,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1986,65,Male,1964,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",20,37,45,888,,78.0
77400,480,9,Yes,,Very good,1981,Never too young,Female,1963,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,28000,29000,76.0
77420,120,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Fair,1989,50,Female,1971,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",2,12,12,21000,,47.0
77445,240,4,Yes,Dansk Folkeparti - Danish People's Party,Very good,1978,50,Female,1960,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,24000,32000,41.0
77627,180,7,Yes,Liberal Alliance - Liberal Alliance,Very good,2008,59,Male,1986,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,37,43,33000,38000,62.0
77693,60,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Good,1978,Never too young,Male,1962,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,28000,,40.0
77736,240,8,Yes,Alternativet - The Alternative,Fair,1998,50,Female,1983,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17,12,12,,,77.0
77785,121,7,Yes,Dansk Folkeparti - Danish People's Party,Fair,1986,59,Male,1963,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",10,37,37,29000,,57.0
77833,240,8,Yes,Dansk Folkeparti - Danish People's Party,Good,1966,55,Female,1950,Folkeskole 6.-8. klasse,7,48,48,,,44.0
78061,60,9,Yes,Enhedslisten - Unity List - The Red-Green Alliance,Bad,1949,Should never be in paid work,Male,1935,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",9,37,38,,,59.0
78179,150,8,Yes,Enhedslisten - Unity List - The Red-Green Alliance,Very good,1970,65,Male,1949,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",4,10,40,,,50.0
78485,510,8,Yes,Socialdemokratiet - The Social democrats,Very good,2003,60,Female,1983,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",19,37,37,40500,,61.0
78563,150,8,Yes,Socialdemokratiet - The Social democrats,Very good,1967,59,Male,1947,"Forskeruddannelse. Ph.d., doktor",19,30,37,90000,,48.0
78605,90,7,Yes,,Very good,1972,,Male,1952,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",17,37,40,,,55.0
78613,120,4,Yes,Socialdemokratiet - The Social democrats,Bad,1984,,Male,1965,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,16,16,,,48.0
78714,,6,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Fair,1992,17,Male,1974,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",6,37,40,30000,,47.0
78728,90,7,Yes,Socialdemokratiet - The Social democrats,Very bad,1965,40,Male,1947,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",15,35,45,,,71.0
78838,120,7,Yes,Alternativet - The Alternative,Good,2010,55,Female,1988,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17,37,37,26000,30000,67.0
78996,120,7,Yes,Socialdemokratiet - The Social democrats,Good,1984,60,Male,1967,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",19,37,41,28000,30000,65.0
79006,660,8,Not eligible to vote,,Fair,"Still in parental home, never left 2 months",60,Female,2000,Folkeskole 9.-10. klasse,10,12,12,6500,,48.0
79054,120,9,Yes,Socialdemokratiet - The Social democrats,Very good,1997,60,Male,1976,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",17,37,50,33000,38000,54.0
79130,120,8,Yes,Socialdemokratiet - The Social democrats,Good,1959,62,Female,1940,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",17,50,50,,,45.0
79296,,6,Yes,SF Socialistisk Folkeparti - Socialist People's Party,Good,1992,60,Male,1974,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",17,41,41,30000,36000,67.0
79301,300,8,Yes,Det Radikale Venstre - The Radical Liberal Party,Good,1993,60,Female,1973,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",16,37,41,37800,41000,62.0
79460,90,9,Yes,,Good,1988,,Female,1974,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",14,32,32,28000,,69.0
79520,360,5,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1977,50,Male,1956,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",12,37,37,44000,,64.0
79533,180,7,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1974,57,Female,1955,Folkeskole 9.-10. klasse,10,37,37,40000,,47.0
79550,180,3,Yes,Enhedslisten - Unity List - The Red-Green Alliance,Fair,2016,30,Female,1997,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",14,30,30,18000,20000,52.0
79596,180,3,Yes,Dansk Folkeparti - Danish People's Party,Very good,1970,60,Male,1951,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",2,37,45,,,68.0
79851,210,3,Yes,Det Konservative Folkeparti - Conservative People's Party,Good,1983,65,Male,1965,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",14,37,37,34000,,73.0
79882,,7,Yes,Socialdemokratiet - The Social democrats,Good,1955,25,Female,1941,Folkeskole 6.-8. klasse,0,35,35,,,90.0
79975,30,8,Yes,Kristendemokraterne - Christian Democrats,Good,1972,67,Female,1955,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,37,37,19500,,48.0
80016,150,7,Yes,Dansk Folkeparti - Danish People's Party,Bad,1977,60,Male,1959,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,37,55,,,95.0
80032,180,7,Yes,Alternativet - The Alternative,Good,2006,,Male,1986,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",18,37,37,28000,35000,44.0
80037,366,1,Yes,,Good,1972,,Female,1957,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15,35,35,,,75.0
80081,60,4,Yes,Socialdemokratiet - The Social democrats,Good,1990,,Female,1970,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",17,37,37,45000,,65.0
80103,600,9,Not eligible to vote,,Good,2004,60,Male,1984,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",16,38,41,45000,,62.0
80114,240,8,Yes,Alternativet - The Alternative,Good,2004,,Female,1984,"Forskeruddannelse. Ph.d., doktor",22,37,50,35000,40000,172.0
80132,60,8,Yes,Det Radikale Venstre - The Radical Liberal Party,Good,1951,,Male,1937,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",6,37,37,,,79.0
80149,120,8,Yes,Socialdemokratiet - The Social democrats,Good,1973,Never too young,Female,1955,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",16,28,28,,,59.0
80193,,7,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1956,62,Female,1940,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15,60,60,,,53.0
80200,600,9,Yes,Enhedslisten - Unity List - The Red-Green Alliance,Good,2008,60,Female,1989,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",18,37,37,32000,,50.0
80205,,0,Yes,,Very good,1994,40,Female,1970,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,33,33,23500,25500,53.0
80321,120,2,Yes,Socialdemokratiet - The Social democrats,Fair,1986,55,Male,1968,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",11,37,37,34000,,70.0
80328,180,8,Yes,Socialdemokratiet - The Social democrats,Good,1989,60,Male,1965,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17,35,35,29000,27000,59.0
80377,120,9,Yes,Kristendemokraterne - Christian Democrats,Very good,1991,60,Female,1969,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",21,37,40,38000,50000,59.0
80397,,7,Yes,Dansk Folkeparti - Danish People's Party,Bad,1960,,Male,1949,Folkeskole 6.-8. klasse,0,45,45,,,62.0
80448,60,8,Yes,Socialdemokratiet - The Social democrats,Fair,1988,,Male,1965,Folkeskole 9.-10. klasse,12,25,25,,,50.0
80527,430,7,Yes,Socialdemokratiet - The Social democrats,Fair,"Still in parental home, never left 2 months",50,Male,1984,Folkeskole 9.-10. klasse,9,37,37,,,46.0
80559,150,2,Yes,Det Konservative Folkeparti - Conservative People's Party,Very good,1991,60,Male,1973,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,45,45,50000,,61.0
80601,360,6,Yes,,Good,2013,40,Male,1995,Other,13,20,20,18000,20000,68.0
80612,120,7,Yes,Socialdemokratiet - The Social democrats,Very good,1981,55,Male,1963,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",18,37,37,32000,,93.0
80674,720,7,Yes,Det Konservative Folkeparti - Conservative People's Party,Very good,1988,50,Male,1971,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",18,37,70,,,60.0
80806,360,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1992,60,Male,1970,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",18,37,45,50000,55000,68.0
80911,90,8,Yes,Socialdemokratiet - The Social democrats,Fair,1992,50,Female,1975,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,37,37,25000,27000,59.0
81022,610,4,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Good,2000,59,Female,1984,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",17,37,40,25200,30000,52.0
81161,230,3,Not eligible to vote,,Very good,2011,59,Female,1990,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17,10,9,11000,,107.0
81198,120,5,No,,Very good,2013,60,Male,1994,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,40,48,43000,50000,64.0
81304,60,7,Yes,Dansk Folkeparti - Danish People's Party,Good,2005,50,Male,1986,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",12,37,37,28000,,52.0
81488,60,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Good,1970,60,Female,1952,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15,37,50,,,68.0
81599,240,9,Yes,Enhedslisten - Unity List - The Red-Green Alliance,Good,2001,65,Female,1982,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",18,,,,,55.0
81609,120,9,Yes,Det Radikale Venstre - The Radical Liberal Party,Very good,1994,70,Female,1977,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",19,37,37,500000,,54.0
81636,150,3,Yes,Socialdemokratiet - The Social democrats,Very good,1988,,Female,1969,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",14,37,37,32000,,57.0
81734,300,7,Yes,Socialdemokratiet - The Social democrats,Very good,1988,50,Female,1969,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",18,,50,,,65.0
81867,510,6,Not eligible to vote,,Very good,"Still in parental home, never left 2 months",62,Female,2001,Folkeskole 9.-10. klasse,9,7,7,1867,,61.0
81874,,5,No,,Very good,1952,50,Male,1932,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",12,37,37,,,81.0
82020,120,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Good,1981,55,Female,1963,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,30,30,29000,39000,66.0
